1.00,0.00,0
1.00,0.00,0
0.99,0.00,0
0.99,0.00,0
0.98,0.01,0
0.96,0.01,0
0.95,0.01,0
0.93,0.01,0
0.91,0.02,0
0.88,0.02,0
0.85,0.03,0
0.83,0.03,0
0.80,0.04,0
0.76,0.04,0
0.73,0.05,0
0.69,0.05,0
0.66,0.06,0
0.62,0.06,0
0.58,0.07,0
0.54,0.07,0
0.50,0.07,0
0.46,0.07,0
0.42,0.08,0
0.38,0.08,0
0.34,0.08,0
0.31,0.08,0
0.27,0.08,0
0.24,0.08,0
0.20,0.07,0
0.17,0.07,0
0.14,0.06,0
0.12,0.06,0
0.09,0.05,0
0.07,0.05,0
0.05,0.04,0
0.04,0.04,0
0.02,0.03,0
0.01,0.02,0
0.00,0.01,0
0.00,0.01,0
0.00,0.00,0
0.00,-0.01,0
0.01,-0.01,0
0.02,-0.02,0
0.03,-0.02,0
0.04,-0.03,0
0.06,-0.03,0
0.08,-0.03,0
0.10,-0.04,0
0.12,-0.04,0
0.15,-0.04,0
0.18,-0.04,0
0.21,-0.04,0
0.24,-0.04,0
0.27,-0.04,0
0.31,-0.04,0
0.35,-0.04,0
0.38,-0.04,0
0.42,-0.04,0
0.46,-0.04,0
0.50,-0.03,0
0.54,-0.03,0
0.58,-0.03,0
0.62,-0.03,0
0.65,-0.02,0
0.69,-0.02,0
0.73,-0.02,0
0.76,-0.02,0
0.79,-0.01,0
0.82,-0.01,0
0.85,-0.01,0
0.88,-0.01,0
0.90,-0.01,0
0.93,-0.01,0
0.95,0.00,0
0.96,0.00,0
0.98,0.00,0
0.99,0.00,0
0.99,0.00,0
1.00,0.00,0
1.00,0.00,0
